id colegio;Municipio;Distrito;Sección;Mesa;Desde;Hasta;Colegio electoral;Dirección
ZARAGOZA | I.E.S. RAMON Y CAJAL | CALLE RAMON PIGNATELLI 102;ZARAGOZA;1;30;B;L;Z;I.E.S. RAMON Y CAJAL;CALLE RAMON PIGNATELLI 102
ZARAGOZA | I.E.S. RAMON Y CAJAL | CALLE RAMON PIGNATELLI 102;ZARAGOZA;1;31;A;A;K;I.E.S. RAMON Y CAJAL;CALLE RAMON PIGNATELLI 102
ZARAGOZA | I.E.S. RAMON Y CAJAL | CALLE RAMON PIGNATELLI 102;ZARAGOZA;1;31;B;L;Z;I.E.S. RAMON Y CAJAL;CALLE RAMON PIGNATELLI 102
ZARAGOZA | I.E.S. RAMON Y CAJAL | CALLE RAMON PIGNATELLI 102;ZARAGOZA;1;32;A;A;K;I.E.S. RAMON Y CAJAL;CALLE RAMON PIGNATELLI 102
ZARAGOZA | I.E.S. RAMON Y CAJAL | CALLE RAMON PIGNATELLI 102;ZARAGOZA;1;32;B;L;Z;I.E.S. RAMON Y CAJAL;CALLE RAMON PIGNATELLI 102
ZARAGOZA | I.E.S. PEDRO DE LUNA | CALLE UNIVERSIDAD 2;ZARAGOZA;1;33;A;A;K;I.E.S. PEDRO DE LUNA;CALLE UNIVERSIDAD 2
ZARAGOZA | I.E.S. PEDRO DE LUNA | CALLE UNIVERSIDAD 2;ZARAGOZA;1;33;B;L;Z;I.E.S. PEDRO DE LUNA;CALLE UNIVERSIDAD 2
ZARAGOZA | COLEGIO ESCOLAPIAS CALASANZ | CALLE TENIENTE CORONEL VALENZUELA 2;ZARAGOZA;1;34;A;A;K;COLEGIO ESCOLAPIAS CALASANZ;CALLE TENIENTE CORONEL VALENZUELA 2
ZARAGOZA | COLEGIO ESCOLAPIAS CALASANZ | CALLE TENIENTE CORONEL VALENZUELA 2;ZARAGOZA;1;34;B;L;Z;COLEGIO ESCOLAPIAS CALASANZ;CALLE TENIENTE CORONEL VALENZUELA 2
ZARAGOZA | CASA CONSISTORIAL AYTO. ZARAGOZA | PLAZA PILAR (DEL) 18;ZARAGOZA;1;36;A;A;K;CASA CONSISTORIAL AYTO. ZARAGOZA;PLAZA PILAR (DEL) 18
ZARAGOZA | CASA CONSISTORIAL AYTO. ZARAGOZA | PLAZA PILAR (DEL) 18;ZARAGOZA;1;36;B;L;Z;CASA CONSISTORIAL AYTO. ZARAGOZA;PLAZA PILAR (DEL) 18
ZARAGOZA | COLEGIO ESCOLAPIAS CALASANZ | CALLE TENIENTE CORONEL VALENZUELA 2;ZARAGOZA;1;38;A;A;K;COLEGIO ESCOLAPIAS CALASANZ;CALLE TENIENTE CORONEL VALENZUELA 2
ZARAGOZA | COLEGIO ESCOLAPIAS CALASANZ | CALLE TENIENTE CORONEL VALENZUELA 2;ZARAGOZA;1;38;B;L;Z;COLEGIO ESCOLAPIAS CALASANZ;CALLE TENIENTE CORONEL VALENZUELA 2
ZARAGOZA | CASA CONSISTORIAL AYTO. ZARAGOZA | PLAZA PILAR (DEL) 18;ZARAGOZA;1;39;A;A;K;CASA CONSISTORIAL AYTO. ZARAGOZA;PLAZA PILAR (DEL) 18
ZARAGOZA | CASA CONSISTORIAL AYTO. ZARAGOZA | PLAZA PILAR (DEL) 18;ZARAGOZA;1;39;B;L;Z;CASA CONSISTORIAL AYTO. ZARAGOZA;PLAZA PILAR (DEL) 18
ZARAGOZA | CASA CONSISTORIAL AYTO. ZARAGOZA | PLAZA PILAR (DEL) 18;ZARAGOZA;1;40;U;A;Z;CASA CONSISTORIAL AYTO. ZARAGOZA;PLAZA PILAR (DEL) 18
ZARAGOZA | CASA CONSISTORIAL AYTO. ZARAGOZA | PLAZA PILAR (DEL) 18;ZARAGOZA;1;41;A;A;K;CASA CONSISTORIAL AYTO. ZARAGOZA;PLAZA PILAR (DEL) 18
ZARAGOZA | CASA CONSISTORIAL AYTO. ZARAGOZA | PLAZA PILAR (DEL) 18;ZARAGOZA;1;41;B;L;Z;CASA CONSISTORIAL AYTO. ZARAGOZA;PLAZA PILAR (DEL) 18
ZARAGOZA | I.E.S. PEDRO DE LUNA | CALLE UNIVERSIDAD 2;ZARAGOZA;1;43;A;A;K;I.E.S. PEDRO DE LUNA;CALLE UNIVERSIDAD 2
ZARAGOZA | I.E.S. PEDRO DE LUNA | CALLE UNIVERSIDAD 2;ZARAGOZA;1;43;B;L;Z;I.E.S. PEDRO DE LUNA;CALLE UNIVERSIDAD 2
